sample_name,sensitivity,specificity,f1
FAVITES_output_logSI_contemp_T200_N100_E1_128,0.191,0.214,0.202
FAVITES_output_logSI_contemp_T200_N100_E1_129,0.400,0.571,0.471
FAVITES_output_logSI_contemp_T200_N100_E1_130,0.355,0.393,0.373
FAVITES_output_logSI_contemp_T200_N100_E1_131,0.091,0.111,0.100
FAVITES_output_logSI_contemp_T200_N100_E1_132,0.100,0.111,0.105
FAVITES_output_logSI_contemp_T200_N100_E1_133,0.273,0.300,0.286
FAVITES_output_logSI_contemp_T200_N100_E1_134,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_135,0.167,0.172,0.169
FAVITES_output_logSI_contemp_T200_N100_E1_136,0.261,0.273,0.267
FAVITES_output_logSI_contemp_T200_N100_E1_137,0.500,0.571,0.533
FAVITES_output_logSI_contemp_T200_N100_E1_138,0.308,0.308,0.308
FAVITES_output_logSI_contemp_T200_N100_E1_139,0.393,0.423,0.407
FAVITES_output_logSI_contemp_T200_N100_E1_140,0.207,0.222,0.214
FAVITES_output_logSI_contemp_T200_N100_E1_141,0.154,0.174,0.163
FAVITES_output_logSI_contemp_T200_N100_E1_142,0.273,0.273,0.273
FAVITES_output_logSI_contemp_T200_N100_E1_143,0.167,0.179,0.173
FAVITES_output_logSI_contemp_T200_N100_E1_144,0.100,0.143,0.118
FAVITES_output_logSI_contemp_T200_N100_E1_145,0.222,0.267,0.242
FAVITES_output_logSI_contemp_T200_N100_E1_146,0.500,0.500,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_147,0.200,0.214,0.207
FAVITES_output_logSI_contemp_T200_N100_E1_149,0.125,0.143,0.133
FAVITES_output_logSI_contemp_T200_N100_E1_150,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_151,0.333,0.364,0.348
FAVITES_output_logSI_contemp_T200_N100_E1_152,0.308,0.308,0.308
FAVITES_output_logSI_contemp_T200_N100_E1_153,0.107,0.115,0.111
FAVITES_output_logSI_contemp_T200_N100_E1_154,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_155,0.207,0.231,0.218
FAVITES_output_logSI_contemp_T200_N100_E1_156,0.222,0.222,0.222
FAVITES_output_logSI_contemp_T200_N100_E1_157,0.500,0.500,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_158,0.056,0.077,0.065
FAVITES_output_logSI_contemp_T200_N100_E1_159,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_160,0.125,0.139,0.132
FAVITES_output_logSI_contemp_T200_N100_E1_161,0.500,1.000,0.667
FAVITES_output_logSI_contemp_T200_N100_E1_162,0.333,0.375,0.353
FAVITES_output_logSI_contemp_T200_N100_E1_163,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_164,0.067,0.080,0.073
FAVITES_output_logSI_contemp_T200_N100_E1_165,0.208,0.227,0.217
FAVITES_output_logSI_contemp_T200_N100_E1_166,0.571,0.571,0.571
FAVITES_output_logSI_contemp_T200_N100_E1_167,0.250,0.300,0.273
FAVITES_output_logSI_contemp_T200_N100_E1_168,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_169,0.200,0.214,0.207
FAVITES_output_logSI_contemp_T200_N100_E1_170,0.308,0.308,0.308
FAVITES_output_logSI_contemp_T200_N100_E1_171,0.229,0.244,0.237
FAVITES_output_logSI_contemp_T200_N100_E1_172,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_173,0.127,0.146,0.136
FAVITES_output_logSI_contemp_T200_N100_E1_174,0.308,0.400,0.348
FAVITES_output_logSI_contemp_T200_N100_E1_175,0.400,0.400,0.400
FAVITES_output_logSI_contemp_T200_N100_E1_176,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_177,0.333,1.000,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_178,0.333,0.333,0.333
FAVITES_output_logSI_contemp_T200_N100_E1_179,0.188,0.225,0.205
FAVITES_output_logSI_contemp_T200_N100_E1_180,0.280,0.304,0.292
FAVITES_output_logSI_contemp_T200_N100_E1_181,0.500,1.000,0.667
FAVITES_output_logSI_contemp_T200_N100_E1_182,0.273,0.273,0.273
FAVITES_output_logSI_contemp_T200_N100_E1_183,0.192,0.200,0.196
FAVITES_output_logSI_contemp_T200_N100_E1_184,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_185,0.150,0.200,0.171
FAVITES_output_logSI_contemp_T200_N100_E1_187,0.286,0.316,0.300
FAVITES_output_logSI_contemp_T200_N100_E1_188,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_189,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_190,0.500,1.000,0.667
FAVITES_output_logSI_contemp_T200_N100_E1_191,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_192,0.143,0.162,0.152
FAVITES_output_logSI_contemp_T200_N100_E1_193,0.429,0.429,0.429
FAVITES_output_logSI_contemp_T200_N100_E1_194,0.139,0.167,0.152
FAVITES_output_logSI_contemp_T200_N100_E1_195,0.095,0.111,0.103
FAVITES_output_logSI_contemp_T200_N100_E1_196,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_197,0.087,0.091,0.089
FAVITES_output_logSI_contemp_T200_N100_E1_198,0.208,0.227,0.217
FAVITES_output_logSI_contemp_T200_N100_E1_199,0.192,0.227,0.208
FAVITES_output_logSI_contemp_T200_N100_E1_200,0.118,0.200,0.148
FAVITES_output_logSI_contemp_T200_N100_E1_202,0.083,0.125,0.100
FAVITES_output_logSI_contemp_T200_N100_E1_203,0.260,0.277,0.268
