sample_name,sensitivity,specificity,f1
FAVITES_output_logSI_contemp_T200_N100_E1_197,0.217,0.217,0.217
FAVITES_output_logSI_contemp_T200_N100_E1_198,0.292,0.292,0.292
FAVITES_output_logSI_contemp_T200_N100_E1_199,0.346,0.346,0.346
FAVITES_output_logSI_contemp_T200_N100_E1_200,0.647,0.647,0.647
FAVITES_output_logSI_contemp_T200_N100_E1_202,0.500,0.500,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_204,0.389,0.389,0.389
FAVITES_output_logSI_contemp_T200_N100_E1_206,0.071,0.071,0.071
FAVITES_output_logSI_contemp_T200_N100_E1_207,0.136,0.136,0.136
FAVITES_output_logSI_contemp_T200_N100_E1_211,0.400,0.400,0.400
FAVITES_output_logSI_contemp_T200_N100_E1_213,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_216,0.345,0.345,0.345
FAVITES_output_logSI_contemp_T200_N100_E1_217,0.409,0.409,0.409
FAVITES_output_logSI_contemp_T200_N100_E1_218,0.333,0.333,0.333
FAVITES_output_logSI_contemp_T200_N100_E1_219,0.500,0.500,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_220,0.176,0.176,0.176
FAVITES_output_logSI_contemp_T200_N100_E1_222,0.333,0.333,0.333
FAVITES_output_logSI_contemp_T200_N100_E1_223,0.500,0.500,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_224,0.375,0.375,0.375
FAVITES_output_logSI_contemp_T200_N100_E1_225,0.273,0.273,0.273
FAVITES_output_logSI_contemp_T200_N100_E1_226,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_227,0.100,0.100,0.100
FAVITES_output_logSI_contemp_T200_N100_E1_228,0.545,0.545,0.545
FAVITES_output_logSI_contemp_T200_N100_E1_231,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_232,0.167,0.167,0.167
FAVITES_output_logSI_contemp_T200_N100_E1_234,0.143,0.143,0.143
FAVITES_output_logSI_contemp_T200_N100_E1_235,0.667,0.667,0.667
FAVITES_output_logSI_contemp_T200_N100_E1_236,0.200,0.200,0.200
FAVITES_output_logSI_contemp_T200_N100_E1_237,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_239,0.667,0.667,0.667
FAVITES_output_logSI_contemp_T200_N100_E1_240,0.458,0.458,0.458
FAVITES_output_logSI_contemp_T200_N100_E1_241,0.286,0.286,0.286
FAVITES_output_logSI_contemp_T200_N100_E1_243,0.400,0.400,0.400
FAVITES_output_logSI_contemp_T200_N100_E1_244,0.200,0.200,0.200
FAVITES_output_logSI_contemp_T200_N100_E1_247,0.750,0.750,0.750
FAVITES_output_logSI_contemp_T200_N100_E1_248,0.333,0.333,0.333
FAVITES_output_logSI_contemp_T200_N100_E1_249,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_250,0.500,0.500,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_251,0.500,0.500,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_252,0.500,0.500,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_254,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_256,0.312,0.312,0.312
FAVITES_output_logSI_contemp_T200_N100_E1_259,0.333,0.333,0.333
FAVITES_output_logSI_contemp_T200_N100_E1_261,0.346,0.346,0.346
FAVITES_output_logSI_contemp_T200_N100_E1_262,0.345,0.345,0.345
FAVITES_output_logSI_contemp_T200_N100_E1_263,0.179,0.179,0.179
FAVITES_output_logSI_contemp_T200_N100_E1_267,0.333,0.333,0.333
FAVITES_output_logSI_contemp_T200_N100_E1_268,0.500,0.500,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_269,0.261,0.261,0.261
FAVITES_output_logSI_contemp_T200_N100_E1_270,0.250,0.250,0.250
FAVITES_output_logSI_contemp_T200_N100_E1_271,0.375,0.375,0.375
FAVITES_output_logSI_contemp_T200_N100_E1_272,0.167,0.167,0.167
FAVITES_output_logSI_contemp_T200_N100_E1_274,0.714,0.714,0.714
FAVITES_output_logSI_contemp_T200_N100_E1_275,0.429,0.429,0.429
FAVITES_output_logSI_contemp_T200_N100_E1_276,0.462,0.462,0.462
