sample_name,sensitivity,specificity,f1
FAVITES_output_logSI_contemp_T200_N100_E1_140,0.655,0.050,0.093
FAVITES_output_logSI_contemp_T200_N100_E1_141,0.615,0.062,0.113
FAVITES_output_logSI_contemp_T200_N100_E1_142,0.455,0.089,0.149
FAVITES_output_logSI_contemp_T200_N100_E1_143,0.905,0.049,0.092
FAVITES_output_logSI_contemp_T200_N100_E1_144,0.800,0.258,0.390
FAVITES_output_logSI_contemp_T200_N100_E1_145,0.833,0.064,0.118
FAVITES_output_logSI_contemp_T200_N100_E1_146,1.000,0.667,0.800
FAVITES_output_logSI_contemp_T200_N100_E1_147,0.800,0.040,0.076
FAVITES_output_logSI_contemp_T200_N100_E1_149,0.500,0.167,0.250
FAVITES_output_logSI_contemp_T200_N100_E1_150,1.000,0.333,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_151,0.500,0.090,0.152
FAVITES_output_logSI_contemp_T200_N100_E1_152,0.846,0.121,0.212
FAVITES_output_logSI_contemp_T200_N100_E1_153,0.750,0.059,0.110
FAVITES_output_logSI_contemp_T200_N100_E1_154,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_155,0.586,0.048,0.089
FAVITES_output_logSI_contemp_T200_N100_E1_156,0.667,0.133,0.222
FAVITES_output_logSI_contemp_T200_N100_E1_157,0.500,0.200,0.286
FAVITES_output_logSI_contemp_T200_N100_E1_158,0.833,0.155,0.261
FAVITES_output_logSI_contemp_T200_N100_E1_159,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_160,0.675,0.040,0.076
FAVITES_output_logSI_contemp_T200_N100_E1_161,0.500,0.500,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_162,1.000,0.243,0.391
FAVITES_output_logSI_contemp_T200_N100_E1_163,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_164,0.733,0.067,0.122
FAVITES_output_logSI_contemp_T200_N100_E1_165,0.458,0.043,0.079
FAVITES_output_logSI_contemp_T200_N100_E1_166,0.714,0.179,0.286
