sample_name,sensitivity,specificity,f1
FAVITES_output_logSI_contemp_T200_N100_E1_126,0.211,0.211,0.211
FAVITES_output_logSI_contemp_T200_N100_E1_127,0.500,0.500,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_128,0.383,0.383,0.383
FAVITES_output_logSI_contemp_T200_N100_E1_129,0.400,0.400,0.400
FAVITES_output_logSI_contemp_T200_N100_E1_130,0.194,0.194,0.194
FAVITES_output_logSI_contemp_T200_N100_E1_131,0.273,0.273,0.273
FAVITES_output_logSI_contemp_T200_N100_E1_132,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_133,0.159,0.159,0.159
FAVITES_output_logSI_contemp_T200_N100_E1_134,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_135,0.067,0.067,0.067
FAVITES_output_logSI_contemp_T200_N100_E1_136,0.217,0.217,0.217
FAVITES_output_logSI_contemp_T200_N100_E1_137,0.250,0.250,0.250
FAVITES_output_logSI_contemp_T200_N100_E1_138,0.077,0.077,0.077
FAVITES_output_logSI_contemp_T200_N100_E1_139,0.143,0.143,0.143
FAVITES_output_logSI_contemp_T200_N100_E1_140,0.138,0.138,0.138
FAVITES_output_logSI_contemp_T200_N100_E1_141,0.192,0.192,0.192
FAVITES_output_logSI_contemp_T200_N100_E1_142,0.182,0.182,0.182
FAVITES_output_logSI_contemp_T200_N100_E1_143,0.119,0.119,0.119
FAVITES_output_logSI_contemp_T200_N100_E1_144,0.800,0.800,0.800
FAVITES_output_logSI_contemp_T200_N100_E1_145,0.389,0.389,0.389
FAVITES_output_logSI_contemp_T200_N100_E1_146,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_147,0.178,0.178,0.178
FAVITES_output_logSI_contemp_T200_N100_E1_149,0.250,0.250,0.250
FAVITES_output_logSI_contemp_T200_N100_E1_150,0.600,0.600,0.600
FAVITES_output_logSI_contemp_T200_N100_E1_151,0.167,0.167,0.167
FAVITES_output_logSI_contemp_T200_N100_E1_152,0.385,0.385,0.385
FAVITES_output_logSI_contemp_T200_N100_E1_153,0.214,0.214,0.214
FAVITES_output_logSI_contemp_T200_N100_E1_154,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_155,0.276,0.276,0.276
FAVITES_output_logSI_contemp_T200_N100_E1_156,0.111,0.111,0.111
FAVITES_output_logSI_contemp_T200_N100_E1_157,0.250,0.250,0.250
FAVITES_output_logSI_contemp_T200_N100_E1_158,0.556,0.556,0.556
FAVITES_output_logSI_contemp_T200_N100_E1_159,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_160,0.175,0.175,0.175
FAVITES_output_logSI_contemp_T200_N100_E1_161,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_162,0.556,0.556,0.556
FAVITES_output_logSI_contemp_T200_N100_E1_163,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_164,0.267,0.267,0.267
FAVITES_output_logSI_contemp_T200_N100_E1_165,0.125,0.125,0.125
FAVITES_output_logSI_contemp_T200_N100_E1_166,0.143,0.143,0.143
FAVITES_output_logSI_contemp_T200_N100_E1_167,0.417,0.417,0.417
FAVITES_output_logSI_contemp_T200_N100_E1_168,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_169,0.167,0.167,0.167
FAVITES_output_logSI_contemp_T200_N100_E1_170,0.154,0.154,0.154
FAVITES_output_logSI_contemp_T200_N100_E1_171,0.083,0.083,0.083
FAVITES_output_logSI_contemp_T200_N100_E1_172,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_173,0.164,0.164,0.164
FAVITES_output_logSI_contemp_T200_N100_E1_174,0.308,0.308,0.308
FAVITES_output_logSI_contemp_T200_N100_E1_175,0.100,0.100,0.100
FAVITES_output_logSI_contemp_T200_N100_E1_176,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_177,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_178,0.167,0.167,0.167
FAVITES_output_logSI_contemp_T200_N100_E1_179,0.333,0.333,0.333
FAVITES_output_logSI_contemp_T200_N100_E1_180,0.120,0.120,0.120
FAVITES_output_logSI_contemp_T200_N100_E1_181,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_182,0.091,0.091,0.091
FAVITES_output_logSI_contemp_T200_N100_E1_183,0.154,0.154,0.154
FAVITES_output_logSI_contemp_T200_N100_E1_184,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_185,0.450,0.450,0.450
FAVITES_output_logSI_contemp_T200_N100_E1_187,0.333,0.333,0.333
FAVITES_output_logSI_contemp_T200_N100_E1_188,0.500,0.500,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_189,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_190,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_191,0.600,0.600,0.600
FAVITES_output_logSI_contemp_T200_N100_E1_192,0.167,0.167,0.167
FAVITES_output_logSI_contemp_T200_N100_E1_193,0.286,0.286,0.286
FAVITES_output_logSI_contemp_T200_N100_E1_194,0.278,0.278,0.278
FAVITES_output_logSI_contemp_T200_N100_E1_195,0.190,0.190,0.190
FAVITES_output_logSI_contemp_T200_N100_E1_196,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_197,0.174,0.174,0.174
FAVITES_output_logSI_contemp_T200_N100_E1_198,0.125,0.125,0.125
FAVITES_output_logSI_contemp_T200_N100_E1_199,0.500,0.500,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_200,0.706,0.706,0.706
FAVITES_output_logSI_contemp_T200_N100_E1_202,0.750,0.750,0.750
FAVITES_output_logSI_contemp_T200_N100_E1_203,0.080,0.080,0.080
FAVITES_output_logSI_contemp_T200_N100_E1_204,0.333,0.333,0.333
FAVITES_output_logSI_contemp_T200_N100_E1_206,0.107,0.107,0.107
FAVITES_output_logSI_contemp_T200_N100_E1_207,0.091,0.091,0.091
FAVITES_output_logSI_contemp_T200_N100_E1_208,0.314,0.314,0.314
FAVITES_output_logSI_contemp_T200_N100_E1_209,0.188,0.188,0.188
FAVITES_output_logSI_contemp_T200_N100_E1_210,0.175,0.175,0.175
FAVITES_output_logSI_contemp_T200_N100_E1_211,0.100,0.100,0.100
FAVITES_output_logSI_contemp_T200_N100_E1_212,0.216,0.216,0.216
FAVITES_output_logSI_contemp_T200_N100_E1_213,0.500,0.500,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_214,0.324,0.324,0.324
FAVITES_output_logSI_contemp_T200_N100_E1_216,0.276,0.276,0.276
FAVITES_output_logSI_contemp_T200_N100_E1_217,0.318,0.318,0.318
FAVITES_output_logSI_contemp_T200_N100_E1_218,0.533,0.533,0.533
FAVITES_output_logSI_contemp_T200_N100_E1_219,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_220,0.059,0.059,0.059
FAVITES_output_logSI_contemp_T200_N100_E1_221,0.100,0.100,0.100
FAVITES_output_logSI_contemp_T200_N100_E1_222,0.500,0.500,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_223,0.250,0.250,0.250
FAVITES_output_logSI_contemp_T200_N100_E1_224,0.500,0.500,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_225,0.182,0.182,0.182
FAVITES_output_logSI_contemp_T200_N100_E1_226,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_227,0.100,0.100,0.100
FAVITES_output_logSI_contemp_T200_N100_E1_228,0.273,0.273,0.273
FAVITES_output_logSI_contemp_T200_N100_E1_229,0.041,0.041,0.041
FAVITES_output_logSI_contemp_T200_N100_E1_230,0.541,0.541,0.541
FAVITES_output_logSI_contemp_T200_N100_E1_231,0.333,0.333,0.333
FAVITES_output_logSI_contemp_T200_N100_E1_232,0.042,0.042,0.042
FAVITES_output_logSI_contemp_T200_N100_E1_233,0.158,0.158,0.158
FAVITES_output_logSI_contemp_T200_N100_E1_234,0.143,0.143,0.143
FAVITES_output_logSI_contemp_T200_N100_E1_235,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_236,0.100,0.100,0.100
FAVITES_output_logSI_contemp_T200_N100_E1_237,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_238,0.278,0.278,0.278
FAVITES_output_logSI_contemp_T200_N100_E1_239,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_240,0.417,0.417,0.417
FAVITES_output_logSI_contemp_T200_N100_E1_241,0.143,0.143,0.143
FAVITES_output_logSI_contemp_T200_N100_E1_243,0.200,0.200,0.200
FAVITES_output_logSI_contemp_T200_N100_E1_244,0.200,0.200,0.200
FAVITES_output_logSI_contemp_T200_N100_E1_245,0.246,0.246,0.246
FAVITES_output_logSI_contemp_T200_N100_E1_246,0.071,0.071,0.071
FAVITES_output_logSI_contemp_T200_N100_E1_247,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_248,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_249,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_250,0.500,0.500,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_251,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_252,0.500,0.500,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_253,0.243,0.243,0.243
FAVITES_output_logSI_contemp_T200_N100_E1_254,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_255,0.065,0.065,0.065
FAVITES_output_logSI_contemp_T200_N100_E1_256,0.125,0.125,0.125
FAVITES_output_logSI_contemp_T200_N100_E1_259,0.111,0.111,0.111
FAVITES_output_logSI_contemp_T200_N100_E1_260,0.140,0.140,0.140
FAVITES_output_logSI_contemp_T200_N100_E1_261,0.154,0.154,0.154
FAVITES_output_logSI_contemp_T200_N100_E1_262,0.241,0.241,0.241
FAVITES_output_logSI_contemp_T200_N100_E1_263,0.214,0.214,0.214
FAVITES_output_logSI_contemp_T200_N100_E1_264,0.333,0.333,0.333
FAVITES_output_logSI_contemp_T200_N100_E1_267,0.333,0.333,0.333
FAVITES_output_logSI_contemp_T200_N100_E1_268,0.500,0.500,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_269,0.130,0.130,0.130
FAVITES_output_logSI_contemp_T200_N100_E1_270,0.250,0.250,0.250
FAVITES_output_logSI_contemp_T200_N100_E1_271,0.188,0.188,0.188
FAVITES_output_logSI_contemp_T200_N100_E1_272,0.167,0.167,0.167
FAVITES_output_logSI_contemp_T200_N100_E1_274,0.571,0.571,0.571
FAVITES_output_logSI_contemp_T200_N100_E1_275,0.357,0.357,0.357
FAVITES_output_logSI_contemp_T200_N100_E1_276,0.231,0.231,0.231
FAVITES_output_logSI_contemp_T200_N100_E1_277,0.156,0.156,0.156
FAVITES_output_logSI_contemp_T200_N100_E1_278,0.500,0.500,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_281,0.375,0.375,0.375
FAVITES_output_logSI_contemp_T200_N100_E1_282,0.429,0.429,0.429
FAVITES_output_logSI_contemp_T200_N100_E1_283,0.400,0.400,0.400
FAVITES_output_logSI_contemp_T200_N100_E1_284,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_285,0.111,0.111,0.111
FAVITES_output_logSI_contemp_T200_N100_E1_286,0.667,0.667,0.667
FAVITES_output_logSI_contemp_T200_N100_E1_287,0.250,0.250,0.250
FAVITES_output_logSI_contemp_T200_N100_E1_288,0.426,0.426,0.426
FAVITES_output_logSI_contemp_T200_N100_E1_290,0.176,0.176,0.176
FAVITES_output_logSI_contemp_T200_N100_E1_291,0.083,0.083,0.083
FAVITES_output_logSI_contemp_T200_N100_E1_292,0.500,0.500,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_293,0.357,0.357,0.357
FAVITES_output_logSI_contemp_T200_N100_E1_294,0.217,0.217,0.217
FAVITES_output_logSI_contemp_T200_N100_E1_295,0.500,0.500,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_296,0.258,0.258,0.258
FAVITES_output_logSI_contemp_T200_N100_E1_298,0.522,0.522,0.522
FAVITES_output_logSI_contemp_T200_N100_E1_299,0.333,0.333,0.333
FAVITES_output_logSI_contemp_T200_N100_E1_300,0.077,0.077,0.077
FAVITES_output_logSI_contemp_T200_N100_E1_301,0.083,0.083,0.083
FAVITES_output_logSI_contemp_T200_N100_E1_302,0.188,0.188,0.188
FAVITES_output_logSI_contemp_T200_N100_E1_303,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_304,0.350,0.350,0.350
FAVITES_output_logSI_contemp_T200_N100_E1_305,0.167,0.167,0.167
FAVITES_output_logSI_contemp_T200_N100_E1_306,0.213,0.213,0.213
FAVITES_output_logSI_contemp_T200_N100_E1_307,0.286,0.286,0.286
FAVITES_output_logSI_contemp_T200_N100_E1_308,0.125,0.125,0.125
FAVITES_output_logSI_contemp_T200_N100_E1_309,0.429,0.429,0.429
FAVITES_output_logSI_contemp_T200_N100_E1_310,0.083,0.083,0.083
FAVITES_output_logSI_contemp_T200_N100_E1_311,0.143,0.143,0.143
FAVITES_output_logSI_contemp_T200_N100_E1_312,0.133,0.133,0.133
FAVITES_output_logSI_contemp_T200_N100_E1_314,0.429,0.429,0.429
FAVITES_output_logSI_contemp_T200_N100_E1_315,0.250,0.250,0.250
FAVITES_output_logSI_contemp_T200_N100_E1_316,0.250,0.250,0.250
FAVITES_output_logSI_contemp_T200_N100_E1_317,0.250,0.250,0.250
FAVITES_output_logSI_contemp_T200_N100_E1_318,0.375,0.375,0.375
FAVITES_output_logSI_contemp_T200_N100_E1_319,0.077,0.077,0.077
FAVITES_output_logSI_contemp_T200_N100_E1_320,0.282,0.282,0.282
FAVITES_output_logSI_contemp_T200_N100_E1_322,0.148,0.148,0.148
FAVITES_output_logSI_contemp_T200_N100_E1_323,0.343,0.343,0.343
FAVITES_output_logSI_contemp_T200_N100_E1_324,0.250,0.250,0.250
FAVITES_output_logSI_contemp_T200_N100_E1_325,0.200,0.200,0.200
FAVITES_output_logSI_contemp_T200_N100_E1_326,0.050,0.050,0.050
FAVITES_output_logSI_contemp_T200_N100_E1_327,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_328,0.179,0.179,0.179
FAVITES_output_logSI_contemp_T200_N100_E1_329,0.400,0.400,0.400
FAVITES_output_logSI_contemp_T200_N100_E1_330,0.533,0.533,0.533
FAVITES_output_logSI_contemp_T200_N100_E1_331,0.056,0.056,0.056
FAVITES_output_logSI_contemp_T200_N100_E1_332,0.310,0.310,0.310
FAVITES_output_logSI_contemp_T200_N100_E1_333,0.211,0.211,0.211
FAVITES_output_logSI_contemp_T200_N100_E1_334,0.375,0.375,0.375
FAVITES_output_logSI_contemp_T200_N100_E1_335,0.467,0.467,0.467
FAVITES_output_logSI_contemp_T200_N100_E1_336,0.400,0.400,0.400
FAVITES_output_logSI_contemp_T200_N100_E1_337,0.100,0.100,0.100
FAVITES_output_logSI_contemp_T200_N100_E1_338,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_339,0.150,0.150,0.150
FAVITES_output_logSI_contemp_T200_N100_E1_340,0.077,0.077,0.077
FAVITES_output_logSI_contemp_T200_N100_E1_341,0.125,0.125,0.125
FAVITES_output_logSI_contemp_T200_N100_E1_342,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_343,0.158,0.158,0.158
FAVITES_output_logSI_contemp_T200_N100_E1_344,0.048,0.048,0.048
FAVITES_output_logSI_contemp_T200_N100_E1_345,0.100,0.100,0.100
FAVITES_output_logSI_contemp_T200_N100_E1_346,0.333,0.333,0.333
FAVITES_output_logSI_contemp_T200_N100_E1_347,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_348,0.500,0.500,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_349,0.400,0.400,0.400
FAVITES_output_logSI_contemp_T200_N100_E1_350,0.750,0.750,0.750
FAVITES_output_logSI_contemp_T200_N100_E1_351,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_352,0.200,0.200,0.200
FAVITES_output_logSI_contemp_T200_N100_E1_353,0.500,0.500,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_354,0.400,0.400,0.400
FAVITES_output_logSI_contemp_T200_N100_E1_355,0.162,0.162,0.162
